Order_Item_ID,Order_ID,Product_ID,Quantity,Discount,Unit_Price,Cost_Price,Revenue,Cost,Profit,Profit_Margin
ITEM0000001,ORD000682,PROD0168,3,0.05,186.6,96.37,531.81,289.11,242.7,0.4564
ITEM0000002,ORD016616,PROD0078,3,0.05,50.0,29.16,142.5,87.48,55.02,0.3861
ITEM0000003,ORD007980,PROD0164,4,0.15,50.0,38.06,170.0,152.24,17.76,0.1045
ITEM0000004,ORD002089,PROD0112,3,0.1,93.66,64.72,252.88,194.16,58.72,0.2322
ITEM0000005,ORD012216,PROD0082,4,0.0,632.1,504.74,2528.4,2018.96,509.44,0.2015
ITEM0000006,ORD017627,PROD0129,5,0.25,134.68,110.08,505.05,550.4,-45.35,-0.0898
ITEM0000007,ORD018060,PROD0101,1,0.1,50.0,25.39,45.0,25.39,19.61,0.4358
ITEM0000008,ORD019754,PROD0174,2,0.05,71.55,43.13,135.94,86.26,49.68,0.3655
ITEM0000009,ORD007016,PROD0172,1,0.05,50.0,37.17,47.5,37.17,10.33,0.2175
ITEM0000010,ORD009176,PROD0035,4,0.1,50.0,25.85,180.0,103.4,76.6,0.4256
ITEM0000011,ORD007413,PROD0076,2,0.1,72.65,53.53,130.77,107.06,23.71,0.1813
ITEM0000012,ORD012519,PROD0101,3,0.15,50.0,25.39,127.5,76.17,51.33,0.4026
ITEM0000013,ORD006345,PROD0136,4,0.2,50.0,38.39,160.0,153.56,6.44,0.0402
ITEM0000014,ORD015736,PROD0183,2,0.2,87.79,51.76,140.46,103.52,36.94,0.263
ITEM0000015,ORD009037,PROD0156,1,0.2,123.92,95.19,99.14,95.19,3.95,0.0398
ITEM0000016,ORD000822,PROD0200,5,0.15,50.0,30.45,212.5,152.25,60.25,0.2835
ITEM0000017,ORD002382,PROD0103,3,0.1,97.3,56.35,262.71,169.05,93.66,0.3565
ITEM0000018,ORD017452,PROD0132,2,0.15,50.0,38.76,85.0,77.52,7.48,0.088
ITEM0000019,ORD004079,PROD0134,1,0.0,115.97,84.08,115.97,84.08,31.89,0.275
ITEM0000020,ORD001037,PROD0199,3,0.1,50.0,27.73,135.0,83.19,51.81,0.3838
ITEM0000021,ORD005032,PROD0171,2,0.2,64.85,45.2,103.76,90.4,13.36,0.1288
ITEM0000022,ORD016621,PROD0036,2,0.1,72.1,51.47,129.78,102.94,26.84,0.2068
ITEM0000023,ORD005252,PROD0117,1,0.1,64.18,38.73,57.76,38.73,19.03,0.3295
ITEM0000024,ORD002692,PROD0064,4,0.1,50.0,35.17,180.0,140.68,39.32,0.2184
ITEM0000025,ORD012584,PROD0020,2,0.15,128.34,64.99,218.18,129.98,88.2,0.4042
ITEM0000026,ORD015395,PROD0092,1,0.15,72.3,36.65,61.46,36.65,24.8,0.4036
ITEM0000027,ORD009244,PROD0059,4,0.1,90.74,69.09,326.66,276.36,50.3,0.154
ITEM0000028,ORD014918,PROD0145,2,0.05,206.36,110.58,392.08,221.16,170.92,0.4359
ITEM0000029,ORD004127,PROD0014,6,0.05,60.81,40.32,346.62,241.92,104.7,0.3021
ITEM0000030,ORD017347,PROD0021,2,0.2,105.02,61.73,168.03,123.46,44.57,0.2653
ITEM0000031,ORD002482,PROD0127,2,0.15,50.0,27.26,85.0,54.52,30.48,0.3586
ITEM0000032,ORD006127,PROD0064,1,0.1,50.0,35.17,45.0,35.17,9.83,0.2184
ITEM0000033,ORD003950,PROD0072,3,0.0,187.3,137.9,561.9,413.7,148.2,0.2637
ITEM0000034,ORD011016,PROD0089,1,0.0,127.62,63.94,127.62,63.94,63.68,0.499
ITEM0000035,ORD005125,PROD0196,2,0.05,53.91,37.86,102.43,75.72,26.71,0.2608
ITEM0000036,ORD004833,PROD0027,2,0.0,55.97,35.48,111.94,70.96,40.98,0.3661
ITEM0000037,ORD006091,PROD0181,4,0.1,90.92,55.75,327.31,223.0,104.31,0.3187
ITEM0000038,ORD010313,PROD0095,3,0.2,50.0,39.79,120.0,119.37,0.63,0.0052
ITEM0000039,ORD005425,PROD0175,3,0.15,54.14,42.82,138.06,128.46,9.6,0.0695
ITEM0000040,ORD003587,PROD0164,6,0.1,50.0,38.06,270.0,228.36,41.64,0.1542
ITEM0000041,ORD017895,PROD0031,1,0.05,67.69,40.86,64.31,40.86,23.45,0.3646
ITEM0000042,ORD004370,PROD0142,1,0.1,54.01,31.46,48.61,31.46,17.15,0.3528
ITEM0000043,ORD010740,PROD0197,1,0.05,110.11,67.58,104.6,67.58,37.02,0.3539
ITEM0000044,ORD000485,PROD0184,3,0.3,118.93,72.66,249.75,217.98,31.77,0.1272
ITEM0000045,ORD001273,PROD0060,2,0.05,50.0,33.91,95.0,67.82,27.18,0.2861
ITEM0000046,ORD005849,PROD0150,2,0.1,50.0,33.45,90.0,66.9,23.1,0.2567
ITEM0000047,ORD002109,PROD0140,2,0.0,182.31,100.15,364.62,200.3,164.32,0.4507
ITEM0000048,ORD019926,PROD0084,2,0.15,50.0,26.17,85.0,52.34,32.66,0.3842
ITEM0000049,ORD018316,PROD0151,1,0.05,298.38,204.27,283.46,204.27,79.19,0.2794
ITEM0000050,ORD012062,PROD0150,3,0.3,50.0,33.45,105.0,100.35,4.65,0.0443
ITEM0000051,ORD001130,PROD0199,1,0.05,50.0,27.73,47.5,27.73,19.77,0.4162
ITEM0000052,ORD013583,PROD0019,1,0.25,50.0,26.99,37.5,26.99,10.51,0.2803
ITEM0000053,ORD011637,PROD0089,1,0.2,127.62,63.94,102.1,63.94,38.16,0.3737
ITEM0000054,ORD014589,PROD0177,2,0.0,60.05,42.86,120.1,85.72,34.38,0.2863
ITEM0000055,ORD009063,PROD0153,2,0.1,79.67,57.03,143.41,114.06,29.35,0.2046
ITEM0000056,ORD012791,PROD0088,4,0.0,50.0,36.9,200.0,147.6,52.4,0.262
ITEM0000057,ORD004194,PROD0142,1,0.15,54.01,31.46,45.91,31.46,14.45,0.3147
ITEM0000058,ORD006934,PROD0120,1,0.2,50.0,34.57,40.0,34.57,5.43,0.1357
ITEM0000059,ORD005391,PROD0040,1,0.05,50.0,30.64,47.5,30.64,16.86,0.3549
